,UF,LEITOS EXISTENTES,ano
0,PE,135472.0,2007
1,SE,23509.0,2007
2,BA,188715.0,2007
3,PA,89210.0,2007
4,SP,589920.0,2007
5,MS,37976.0,2007
6,DF,38350.0,2007
7,ES,47358.0,2007
8,RJ,323596.0,2007
9,PR,176512.0,2007
10,SC,92873.0,2007
11,GO,110393.0,2007
12,AL,37753.0,2007
13,MG,281104.0,2007
14,MT,43108.0,2007
15,PB,59598.0,2007
16,CE,111872.0,2007
17,RS,186340.0,2007
18,RO,22391.0,2007
19,RN,47863.0,2007
20,AM,34784.0,2007
21,AP,6378.0,2007
22,MA,93154.0,2007
23,RR,4479.0,2007
24,PI,50181.0,2007
25,AC,8782.0,2007
26,TO,16099.0,2007
27,PE,272580.0,2008
28,SE,47075.0,2008
29,BA,385360.0,2008
30,PA,183851.0,2008
31,SP,1228911.0,2008
32,MS,76512.0,2008
33,DF,78426.0,2008
34,ES,97549.0,2008
35,RJ,651215.0,2008
36,PR,360120.0,2008
37,SC,190687.0,2008
38,GO,222238.0,2008
39,AL,77412.0,2008
40,MG,559371.0,2008
41,MT,85960.0,2008
42,PB,118673.0,2008
43,CE,227454.0,2008
44,RS,385752.0,2008
45,RO,45056.0,2008
46,RN,95699.0,2008
47,AM,72325.0,2008
48,AP,13229.0,2008
49,MA,185236.0,2008
50,RR,9540.0,2008
51,PI,102412.0,2008
52,AC,17944.0,2008
53,TO,31300.0,2008
54,PE,277928.0,2009
55,SE,48677.0,2009
56,BA,380700.0,2009
57,PA,192672.0,2009
58,SP,1292682.0,2009
59,MS,78137.0,2009
60,DF,84351.0,2009
61,ES,102082.0,2009
62,RJ,665114.0,2009
63,PR,371196.0,2009
64,SC,195518.0,2009
65,GO,225644.0,2009
66,AL,79717.0,2009
67,MG,565654.0,2009
68,MT,87461.0,2009
69,PB,120538.0,2009
70,CE,233930.0,2009
71,RS,398791.0,2009
72,RO,46747.0,2009
73,RN,99776.0,2009
74,AM,74746.0,2009
75,AP,13820.0,2009
76,MA,186801.0,2009
77,RR,10564.0,2009
78,PI,104924.0,2009
79,AC,18617.0,2009
80,TO,31792.0,2009
81,PE,280416.0,2010
82,SE,48897.0,2010
83,BA,381442.0,2010
84,PA,194678.0,2010
85,SP,1296152.0,2010
86,MS,76407.0,2010
87,DF,92620.0,2010
88,ES,102619.0,2010
89,RJ,660887.0,2010
90,PR,375910.0,2010
91,SC,196376.0,2010
92,GO,223001.0,2010
93,AL,80929.0,2010
94,MG,568600.0,2010
95,MT,85907.0,2010
96,PB,121555.0,2010
97,CE,237974.0,2010
98,RS,395442.0,2010
99,RO,48160.0,2010
100,RN,97903.0,2010
101,AM,79028.0,2010
102,AP,13879.0,2010
103,MA,185036.0,2010
104,RR,10263.0,2010
105,PI,104009.0,2010
106,AC,19170.0,2010
107,TO,31631.0,2010
108,PE,273582.0,2011
109,SE,50866.0,2011
110,BA,378027.0,2011
111,PA,198284.0,2011
112,SP,1295275.0,2011
113,MS,73436.0,2011
114,DF,95347.0,2011
115,ES,102855.0,2011
116,RJ,657374.0,2011
117,PR,375003.0,2011
118,SC,196951.0,2011
119,GO,223356.0,2011
120,AL,81386.0,2011
121,MG,575487.0,2011
122,MT,85733.0,2011
123,PB,122197.0,2011
124,CE,243977.0,2011
125,RS,397678.0,2011
126,RO,51869.0,2011
127,RN,96435.0,2011
128,AM,80091.0,2011
129,AP,13990.0,2011
130,MA,174258.0,2011
131,RR,10868.0,2011
132,PI,103242.0,2011
133,AC,18931.0,2011
134,TO,31842.0,2011
135,PE,273286.0,2012
136,SE,51356.0,2012
137,BA,375256.0,2012
138,PA,200633.0,2012
139,SP,1276387.0,2012
140,MS,72758.0,2012
