Ano,Valor de Venda,Média
2004,2.142971250986071,2.9272
2005,2.3585886376993836,2.440975
2006,2.5901323246646717,2.17465
2007,2.5473098843672974,1.946958333
2008,2.543774457356792,1.83495
2009,2.5478409079947095,1.995691667
2010,2.6038843170847072,1.756758333
2011,2.760426331477395,1.672666667
2012,2.7668156871318876,1.952775
2013,2.885476446875709,2.152841667
2014,3.0061710088322755,2.360475
2015,3.3499520730150554,3.319591667
2016,3.7254601340600564,3.488258333
2017,3.772021820083682,3.191033333
2018,4.448126959566758,3.615183333
2019,4.418652491289255,3.923316667
2020,4.280125909279911,5.057366667
2021,5.8871458718558305,5.319675
2022,6.317322774354268,5.233416667
2023,5.33516079549556,5.031054545
