Ano,Valor de Venda,Média
2004,30.266282254994035,2.9272
2005,30.345248124676182,2.440975
2006,32.67188152126524,2.17465
2007,33.4074411415049,1.946958333
2008,33.56499286660676,1.83495
2009,35.914163151039716,1.995691667
2010,38.61730528816592,1.756758333
2011,38.946177308578356,1.672666667
2012,39.84800444902867,1.952775
2013,41.72210276653603,2.152841667
2014,43.61613035574803,2.360475
2015,48.08629710874955,3.319591667
2016,55.226780417443244,3.488258333
2017,59.00606432199796,3.191033333
2018,68.92958777269394,3.615183333
2019,69.93557621582809,3.923316667
2020,71.16099647360213,5.057366667
2021,93.29285874562318,5.319675
2022,110.82477087114339,5.233416667
2023,107.85168149153701,5.031054545
